Week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Jonah Williams,41651,T,CIN,1,100.0,0,7,62.5,63.6,56.5,1,4,65,100.0,100.0,93.1,0,7,2,100,0,0,100,100,71,71,0,0,29,0
1,La'el Collins,9719,T,CIN,1,100.0,0,7,58.6,57.7,55.7,0,1,65,100.0,100.0,99.2,0,1,0,100,0,0,0,100,71,71,0,100,29,0
1,Ted Karras,10855,C,CIN,1,100.0,0,7,68.0,76.5,63.0,0,0,65,100.0,100.0,100.0,0,0,0,100,100,0,0,100,71,71,0,0,29,0
1,Cordell Volson,30614,G,CIN,1,100.0,0,7,54.2,44.3,64.7,2,4,65,100.0,100.0,92.3,1,8,2,100,0,100,0,100,71,71,0,0,29,0
1,Alex Cappa,66578,G,CIN,1,100.0,0,7,69.3,72.7,64.2,1,2,65,100.0,100.0,97.7,0,3,0,100,0,0,0,100,71,71,100,0,29,0
1,Quenton Nelson,12954,G,IND,1,100.0,0,14,81.8,81.3,83.6,0,1,54,100.0,100.0,99.1,1,1,0,92,0,92,0,92,56,56,0,0,36,0
1,Braden Smith,46794,T,IND,1,100.0,0,14,57.6,46.0,70.0,1,2,54,100.0,100.0,95.4,1,4,1,92,0,0,0,92,56,56,0,91,36,1
1,Danny Pinter,47339,G,IND,1,100.0,0,14,57.0,46.6,59.2,0,0,54,100.0,100.0,100.0,0,0,0,92,0,0,0,92,56,56,92,0,36,0
1,Ryan Kelly,10652,C,IND,1,100.0,0,14,68.8,86.1,62.0,0,0,54,100.0,100.0,100.0,0,0,0,92,92,0,0,92,56,56,0,0,36,0
1,George Fant,11282,T,NYJ,1,100.0,0,22,60.1,56.0,60.7,1,2,62,100.0,100.0,96.0,1,4,1,84,0,0,84,84,66,66,0,0,18,0
1,Connor McGovern,10778,C,NYJ,1,100.0,0,22,57.6,59.8,54.6,1,1,62,100.0,100.0,98.4,0,2,0,84,84,0,0,84,66,66,0,0,18,0
1,Max Mitchell,81707,T,NYJ,1,100.0,0,22,48.9,50.1,42.7,0,2,62,100.0,100.0,96.8,0,3,1,84,0,0,0,84,66,66,0,84,18,0
1,Laken Tomlinson,9461,G,NYJ,1,100.0,0,22,38.6,39.5,36.8,0,8,62,100.0,100.0,93.5,0,8,0,84,0,84,0,84,66,66,0,0,18,0
1,Alijah Vera-Tucker,57107,G,NYJ,1,100.0,0,22,76.2,45.0,91.1,0,3,62,100.0,100.0,97.6,0,3,0,84,0,0,0,84,66,66,84,0,18,0
1,James Hudson III,59854,T,CLV,1,100.0,0,8,76.0,73.3,80.9,0,1,36,100.0,100.0,98.6,1,1,0,80,0,0,0,80,43,43,0,80,37,0
1,Jedrick Wills Jr.,58467,T,CLV,1,100.0,0,8,51.7,63.0,42.9,0,4,36,100.0,100.0,94.4,0,4,0,80,0,0,78,80,43,43,0,0,37,2
1,Wyatt Teller,46131,G,CLV,1,100.0,0,8,85.9,84.7,80.4,0,0,36,100.0,100.0,100.0,1,0,0,80,0,0,0,80,43,43,80,0,37,0
1,Ethan Pocic,11813,C,CLV,1,100.0,0,8,55.8,63.1,53.5,0,1,36,100.0,100.0,98.6,0,1,0,80,80,0,0,80,43,43,0,0,37,0
1,Joel Bitonio,8670,G,CLV,1,100.0,0,8,59.0,55.6,58.7,1,1,36,100.0,100.0,97.2,0,2,0,80,0,80,0,80,43,43,0,0,37,0
1,Matt Pryor,46647,T,IND,1,100.0,0,14,65.1,60.6,65.0,0,1,51,100.0,100.0,99.0,0,1,0,80,0,0,80,80,51,51,0,0,29,0
1,Chase Roullier,11954,C,WAS,1,100.0,0,32,51.0,44.6,51.9,0,1,45,100.0,100.0,98.9,0,1,0,77,77,0,0,77,52,52,0,0,25,0
1,Sam Cosmi,60114,T,WAS,1,100.0,0,32,74.1,65.7,78.9,0,0,45,100.0,100.0,97.8,0,1,1,77,0,0,0,77,52,52,0,76,25,1
1,Charles Leno Jr.,8880,T,WAS,1,100.0,0,32,73.7,89.5,55.3,0,0,45,100.0,100.0,100.0,0,0,0,77,0,0,76,77,52,52,0,1,25,0
1,Landon Dickerson,41712,G,PHI,1,100.0,0,24,60.8,78.8,54.1,0,1,42,100.0,100.0,98.8,0,1,0,75,0,75,0,75,44,44,0,0,31,0
1,Jordan Mailata,66916,T,PHI,1,100.0,0,24,59.8,70.4,56.8,0,2,42,100.0,100.0,97.6,1,2,0,75,0,0,71,75,44,44,0,0,31,4
1,Drew Dalman,52270,C,ATL,1,100.0,2,2,63.5,71.5,66.0,0,0,36,100.0,100.0,100.0,2,0,0,75,75,0,0,75,39,39,0,0,36,0
1,Kaleb McGary,46912,T,ATL,1,100.0,0,2,68.2,62.3,68.4,0,1,36,100.0,100.0,98.6,1,1,0,75,0,0,0,75,39,39,0,73,36,2
1,Chris Lindstrom,46692,G,ATL,1,100.0,0,2,79.4,68.6,77.5,0,0,36,100.0,100.0,100.0,0,0,0,75,0,0,0,75,39,39,75,0,36,0
1,Elijah Wilkinson,46238,G,ATL,1,100.0,0,2,62.6,81.3,56.2,0,0,36,100.0,100.0,100.0,0,0,0,75,0,75,0,75,39,39,0,0,36,0
1,Jason Kelce,6343,C,PHI,1,100.0,0,24,73.4,75.1,71.2,0,2,42,100.0,100.0,97.6,0,2,0,75,75,0,0,75,44,44,0,0,31,0
1,Jake Matthews,8641,T,ATL,1,100.0,0,2,67.2,77.8,58.7,0,1,36,100.0,100.0,98.6,1,1,0,75,0,0,75,75,39,39,0,0,36,0
1,Lane Johnson,7786,T,PHI,1,100.0,1,24,66.1,79.4,61.2,0,0,42,100.0,100.0,100.0,1,0,0,75,0,0,4,75,44,44,0,71,31,0
1,Isaac Seumalo,10713,G,PHI,1,100.0,0,24,60.8,70.3,55.8,0,1,42,100.0,100.0,98.8,0,1,0,75,0,0,0,75,44,44,75,0,31,0
1,Andrew Norwell,9126,G,WAS,1,100.0,1,32,53.6,89.2,52.4,0,0,43,100.0,100.0,100.0,2,0,0,74,0,74,0,74,50,50,0,0,24,0
1,Tytus Howard,25472,T,HST,1,100.0,0,13,69.1,71.3,64.1,0,1,41,100.0,100.0,96.3,1,2,1,70,0,0,0,70,43,43,0,66,27,4
1,Justin Britt,8699,C,HST,1,100.0,0,13,44.6,71.2,48.5,0,0,41,100.0,100.0,100.0,2,0,0,70,70,0,0,70,43,43,0,0,27,0
1,Brandon Scherff,9438,G,JAX,1,100.0,0,15,54.0,54.0,52.2,0,1,45,100.0,100.0,96.7,0,2,1,70,0,0,0,70,50,50,70,0,20,0
1,A.J. Cann,9500,G,HST,1,100.0,0,13,66.8,60.7,66.2,0,1,41,100.0,100.0,98.8,0,1,0,70,0,0,0,70,43,43,70,0,27,0
1,Laremy Tunsil,10647,T,HST,1,100.0,0,13,82.4,84.0,77.5,0,0,41,100.0,100.0,97.6,0,1,1,70,0,0,70,70,43,43,0,0,27,0
1,Joe Thuney,10712,G,KC,1,100.0,0,16,79.0,84.8,72.7,0,0,41,100.0,100.0,100.0,0,0,0,70,0,70,0,70,44,44,0,0,26,0
1,Luke Fortner,42028,C,JAX,1,100.0,0,15,44.2,35.1,53.6,1,3,45,100.0,100.0,95.6,1,4,0,70,70,0,0,70,50,50,0,0,20,0
1,Creed Humphrey,59996,C,KC,1,100.0,0,16,75.9,68.0,77.1,0,2,41,100.0,100.0,97.6,1,2,0,70,70,0,0,70,44,44,0,0,26,0
1,Ben Bartch,84236,G,JAX,1,100.0,0,15,48.8,32.1,56.1,3,1,45,100.0,100.0,95.6,0,4,0,70,0,70,0,70,50,50,0,0,20,0
1,Penei Sewell,81788,T,DET,1,100.0,0,11,79.8,70.1,84.5,1,1,39,100.0,100.0,94.9,0,3,1,69,0,0,0,69,41,41,0,69,28,0
1,Terence Steele,39461,T,DAL,1,100.0,0,9,58.9,73.9,68.7,0,2,46,100.0,100.0,97.8,4,2,0,69,0,0,0,69,50,50,0,69,19,0
1,Zack Martin,8651,G,DAL,1,100.0,0,9,67.2,81.7,57.0,0,1,46,100.0,100.0,98.9,0,1,0,69,0,0,0,69,50,50,69,0,19,0
1,Tyler Biadasz,41178,C,DAL,1,100.0,0,9,69.2,73.5,66.6,0,1,46,100.0,100.0,98.9,1,1,0,69,69,0,0,69,50,50,0,0,19,0
1,Cam Robinson,11789,T,JAX,1,98.6,0,15,64.5,61.4,75.5,1,4,44,97.8,98.0,94.3,1,5,0,69,0,0,68,70,49,50,0,0,20,2
1,Taylor Decker,10650,T,DET,1,100.0,0,11,54.6,51.9,53.6,1,2,39,100.0,100.0,96.2,0,3,0,69,0,0,69,69,41,41,0,0,28,0
1,Frank Ragnow,39137,C,DET,1,100.0,0,11,48.0,25.3,55.5,0,0,39,100.0,100.0,100.0,0,0,0,69,69,0,0,69,41,41,0,0,28,0
1,Tyler Smith,98385,T,DAL,1,100.0,0,9,62.5,64.3,67.2,0,1,46,100.0,100.0,96.7,1,2,1,69,0,0,69,69,50,50,0,0,19,0
1,Jonah Jackson,37070,G,DET,1,100.0,0,11,67.6,64.8,65.9,0,1,39,100.0,100.0,98.7,0,1,0,69,0,69,0,69,41,41,0,0,28,0
1,Logan Stenberg,37181,G,DET,1,100.0,0,11,25.9,0.0,53.5,2,1,39,100.0,100.0,93.6,2,4,1,69,0,0,0,69,41,41,69,0,28,0
1,Aaron Banks,59983,G,SF,1,100.0,0,28,67.1,78.2,61.1,0,2,35,100.0,100.0,97.1,0,2,0,68,0,68,0,68,36,36,0,0,32,0
1,Jake Brendel,11117,C,SF,1,100.0,1,28,51.2,48.9,57.2,0,2,35,100.0,100.0,97.1,2,2,0,68,68,0,0,68,36,36,0,0,32,0
1,Trent Williams,5529,T,SF,1,100.0,0,28,71.2,75.5,73.3,0,3,35,100.0,100.0,95.7,1,3,0,68,0,0,68,68,36,36,0,0,32,0
1,Spencer Burford,81920,G,SF,1,100.0,0,28,71.5,87.8,63.4,0,0,35,100.0,100.0,100.0,1,0,0,68,0,0,0,68,36,36,68,0,32,0
1,Mike McGlinchey,46275,T,SF,1,100.0,0,28,71.4,65.9,71.3,0,1,35,100.0,100.0,95.7,0,2,1,68,0,0,0,68,36,36,0,68,32,0
1,Joe Noteboom,46249,T,LA,1,100.0,0,26,59.0,44.7,73.3,3,2,50,100.0,100.0,89.0,0,8,3,67,0,0,67,67,51,51,0,0,16,0
1,Coleman Shelton,39316,C,LA,1,100.0,0,26,67.9,70.9,63.5,0,3,50,100.0,100.0,97.0,0,3,0,67,0,0,0,67,51,51,67,0,16,0
1,David Edwards,35941,G,LA,1,100.0,0,26,39.4,6.9,73.1,2,2,50,100.0,100.0,92.0,1,6,2,67,0,67,0,67,51,51,0,0,16,0
1,Corey Linsley,8796,C,LAC,1,100.0,0,27,62.0,78.2,57.2,0,0,35,100.0,100.0,100.0,0,0,0,67,67,0,0,67,36,36,0,0,31,0
1,Brian Allen,46104,C,LA,1,100.0,0,26,67.6,48.9,75.8,1,0,50,100.0,100.0,97.0,0,2,1,67,67,0,0,67,51,51,0,0,16,0
1,Trey Pipkins III,91462,T,LAC,1,100.0,0,27,53.0,56.5,48.3,1,1,35,100.0,100.0,97.1,0,2,0,67,0,0,0,67,36,36,0,66,31,1
1,Zion Johnson,99681,G,LAC,1,100.0,0,27,55.1,69.1,50.0,0,1,35,100.0,100.0,98.6,0,1,0,67,0,0,0,67,36,36,67,0,31,0
1,Rob Havenstein,9490,T,LA,1,100.0,0,26,64.7,51.1,77.0,0,3,50,100.0,100.0,95.0,0,4,1,67,0,0,0,67,51,51,0,67,16,0
1,Rashawn Slater,59971,T,LAC,1,100.0,0,27,79.6,72.2,81.0,1,0,35,100.0,100.0,98.6,0,1,0,67,0,0,67,67,36,36,0,0,31,0
1,Matt Feiler,9289,G,LAC,1,100.0,0,27,61.5,69.1,64.4,0,2,35,100.0,100.0,97.1,1,2,0,67,0,67,0,67,36,36,0,0,31,0
1,Lloyd Cushenberry III,41924,C,DEN,1,100.0,0,10,66.1,63.1,66.2,0,0,45,100.0,100.0,97.8,0,1,1,66,66,0,0,66,47,47,0,0,19,0
1,Dalton Risner,47008,G,DEN,1,100.0,0,10,61.7,87.8,48.0,0,0,45,100.0,100.0,100.0,0,0,0,66,0,66,0,66,47,47,0,0,19,0
1,Garett Bolles,11775,T,DEN,1,100.0,1,10,58.5,75.9,59.1,0,2,45,100.0,100.0,97.8,2,2,0,66,0,0,66,66,47,47,0,0,19,0
1,Cam Fleming,8775,T,DEN,1,100.0,0,10,66.8,57.8,82.2,1,2,45,100.0,100.0,96.7,1,3,0,66,0,0,0,66,47,47,0,66,19,0
1,Nate Davis,46808,G,TEN,1,100.0,0,31,83.9,87.8,77.7,0,0,34,100.0,100.0,100.0,0,0,0,65,0,0,0,65,39,39,65,0,26,0
1,Andrew Wylie,12333,T,KC,1,100.0,0,16,77.6,78.6,73.8,0,1,41,100.0,100.0,98.8,0,1,0,65,0,0,0,65,44,44,0,65,21,0
